Name,Question,Tag,Answer,Language,Active
Accepted methods of payment,Recurring payments (autopay),,User wants to start making automatic recurring payments,en-us,True
Accepted methods of payment,Recurring payments (autopay),I want my payment to be automatic,,en-us,True
Accepted methods of payment,Recurring payments (autopay),How to set automatic recurring payment?,,en-us,True
Accepted methods of payment,Recurring payments (autopay),Where can I set the payment to be automatic?,,en-us,True
Accepted methods of payment,Refund,,User wants a refund for a payment,en-us,True
Accepted methods of payment,Refund,I want to refund a payment,,en-us,True
Accepted methods of payment,Refund,I would like to get my money back,,en-us,True
Accepted methods of payment,Refund,Where should I go to get the payment refunded?,,en-us,True
Accepted methods of payment,Refund,How to get payment refund?,,en-us,True
Accepted methods of payment,Refund,When will I get my money back?,,en-us,True
Account Management,Account privileges,,User wants to know what potential products or services are available to them based on their account,en-us,True
Account Management,Account privileges,What services are available for me?,,en-us,True
Account Management,Account privileges,Does my account have some service benefits?,,en-us,True
Account Management,Account privileges,What products can I buy from my account?,,en-us,True
Account Management,Authorized users,,User wants to change who has access to an account,en-us,True
Account Management,Authorized users,I want to change the authorized person to my account,,en-us,True
Account Management,Authorized users,How to change a person who has access to my account?,,en-us,True
Account Management,Billing address inquiry,,User wants to know the billing address on an account,en-us,True
Account Management,Billing address inquiry,Can you check where is my billing address?,,en-us,True
Account Management,Billing address inquiry,Can I know the billing address of my account?,,en-us,True
Account Management,Cancel account,,User wants to cancel or close an account,en-us,True
Account Management,Cancel account,I want to close an account,,en-us,True
Account Management,Cancel account,How can I close an account?,,en-us,True
Account Management,Customer account number,,Questions about a user's account number,en-us,True
Account Management,Customer account number,I want to know my account number,,en-us,True
Account Management,Customer account number,How can I know my account number?,,en-us,True
Account Management,Customer loyalty program,,User wants to learn about customer loyalty programs,en-us,True
Account Management,Customer profile,,Questions about a user's account details,en-us,True
Account Management,Fraudulent use,,User wants to investigate or report the fraudulent use of a card or account,en-us,True
Account Management,General account management,,"General account questions, such as how to add users or cancel an account",en-us,True
Account Management,General account management,How can I add someone to my account?,,en-us,True
Account Management,General account management,How to cancel an account?,,en-us,True
Account Management,Loyalty status,,User wants to know about their customer loyalty program status or eligibility,en-us,True
Account Management,Loyalty status,What is customer loyalty program?,,en-us,True
Account Management,Loyalty status,Am I eligible for customer loyalty program?,,en-us,True
Account Management,Loyalty status,I want to know the status of my loyalty program,,en-us,True
Account Management,Open account,,User wants to open an account,en-us,True
Account Management,Open account,I want to open an account,,en-us,True
Account Management,Open account,How can I open a new account?,,en-us,True
Account Management,Open account,Can you tell me what do I need to open an account?,,en-us,True
Account Management,Points value,,User wants to know how much value their points are worth,en-us,True
Account Management,Points value,I want to know how much is my points?,,en-us,True
Account Management,Points value,How much can I get from my points?,,en-us,True
Account Management,Points value,Can you check how much is my points to dollars?,,en-us,True
Account Management,Profile password inquiry,,User wants to retrieve or change the password that is associated with the account,en-us,True
Account Management,Profile password inquiry,I want to change my password account,,en-us,True
Account Management,Profile password inquiry,How to change the password of my account?,,en-us,True
Account Management,Profile security questions,,User wants to review or change the security questions that are associated with the account,en-us,True
Account Management,Profile security questions,I want to change the security questions of my account,,en-us,True
Account Management,Profile security questions,How can I change my account security questions?,,en-us,True
Account Management,Profile security questions,Is it possible to change security questions of the account?,,en-us,True
Account Management,Redeem points,,User wants to redeem points to make a purchase or redeem their value,en-us,True
Account Management,Redeem points,I want to redeem points,,en-us,True
Account Management,Redeem points,How can I redeem points?,,en-us,True
Account Management,Redeem points,Where can I redeem points?,,en-us,True
Account Management,Transfer points,,User wants to transfer points between accounts,en-us,True
Account Management,Transfer points,Can I transfer points to my other accounts?,,en-us,True
Account Management,Transfer points,I want to move points to other account,,en-us,True
Account Management,Transfer points,Is it possible to transfer points between accounts?,,en-us,True
Account Management,Update address,,User wants to change the billing or mailing address on the account,en-us,True
Account Management,Update address,I want to change my home address,,en-us,True
Account Management,Update address,Can you change my home address?,,en-us,True
Account Management,Update contact phone number,,User wants to change the phone number on the account that is used to contact them,en-us,True
Account Management,Update contact phone number,I want to change my phone number,,en-us,True
Account Management,Update contact phone number,How can I update my phone number?,,en-us,True
Account Management,Update contact phone number,I have a new phone number,,en-us,True
Account Management,Update contact phone number,I have a new phone number,,en-us,True
Account Management,Update email,,User wants to change the contact email address on the account,en-us,True
Account Management,Update email,I want to change my email address,,en-us,True
Account Management,Update email,I want to update my email,,en-us,True
Account Management,Update email,How can I change my email address?,,en-us,True
Take Leave,I want to take leave,,user wants to take leave,en-us,True
Take Leave,I want to take leave,I want to take leave,,en-us,True
Take Leave,I want to take leave,I want to schedule a leave,,en-us,True
Take Leave,I want to take leave,"Yes, i want to take leave",,en-us,True
Take Leave,I want to take leave,take leave,,en-us,True
Check Balance,I want to check leave balance,,user wants to check leave balance,en-us,True
Check Balance,I want to check leave balance,I want to check balance,,en-us,True
Check Balance,I want to check leave balance,Just check balance,,en-us,True
Check Balance,I want to check leave balance,Check leave balance,,en-us,True
Check Balance,I want to check leave balance,I want to check leave balance,,en-us,True
Check Balance,I want to check leave balance,I want to know the remaining leave I have,,en-us,True
Check Balance,I want to check leave balance,"Yes, i want to check my balance",,en-us,True
Check Balance,I want to check leave balance,check balance,,en-us,True
Delivery,Delivery charges,,User wants to know the delivery charges for orders,en-us,True
Delivery,Delivery is overdue,,"User has not yet received the delivery, although the stated delivery time has passed.",en-us,True
Delivery,Duration of delivery,,User wants to know how long the delivery will take,en-us,True
Delivery,Shipment tracking,,User wants to track his shipment,en-us,True
Credit and Debit Cards,How can I make payments to my card account?,,,en-us,True
Credit and Debit Cards,How long does it take to apply for a credit or debit card?,,,en-us,True
Credit and Debit Cards,Report that my card has been lost or stolen,,,en-us,True
Credit and Debit Cards,Report that my card has been lost or stolen,I have lost my credit card,,en-us,True
Credit and Debit Cards,Report that my card has been lost or stolen,my cards have been stolen,,en-us,True
